event, date, match, matchType, matchNum, color, autoSwitchTime, autoScaleTime, autoScore, autoSwitchAtZero, youtube 
2018abca,1523048939,2018abca_qm35,qm,35,red,15,15,5,False,"no video"
2018abca,1523049585,2018abca_qm36, qm,36,blue,15,15, 15,False,"no video"
2018abca,1523049585,2018abca_qm36,qm,36,red,15,15,10,False,"no video"
2018abca,1523049953,2018abca_qm37, qm,37,blue,15,15, 10,False,=HYPERLINK("https://youtu.be/xxqk0-Xs68w")
2018abca,1523049953,2018abca_qm37,qm,37,red,7,15,31,True,=HYPERLINK("https://youtu.be/xxqk0-Xs68w")
2018abca,1523050534,2018abca_qm38, qm,38,blue,8,15, 24,True,=HYPERLINK("https://youtu.be/1-W48ObBtCQ")
2018abca,1523050534,2018abca_qm38,qm,38,red,4,15,37,True,=HYPERLINK("https://youtu.be/1-W48ObBtCQ")
2018abca,1523050936,2018abca_qm39, qm,39,blue,11,15, 18,True,=HYPERLINK("https://youtu.be/04566Pr-L0c")
2018abca,1523050936,2018abca_qm39,qm,39,red,15,15,15,False,=HYPERLINK("https://youtu.be/04566Pr-L0c")
2018abca,1523030028,2018abca_qm4, qm,4,blue,15,15, 10,False,"no video"
2018abca,1523030028,2018abca_qm4,qm,4,red,15,15,10,False,"no video"
2018abca,1523051365,2018abca_qm40, qm,40,blue,5,9, 47,True,=HYPERLINK("https://youtu.be/kEgHh-QUIIg")
2018abca,1523051365,2018abca_qm40,qm,40,red,15,15,15,False,=HYPERLINK("https://youtu.be/kEgHh-QUIIg")
2018abca,1523051785,2018abca_qm41, qm,41,blue,6,15, 33,True,=HYPERLINK("https://youtu.be/BfAgzAhD0TM")
2018abca,1523051785,2018abca_qm41,qm,41,red,15,15,15,False,=HYPERLINK("https://youtu.be/BfAgzAhD0TM")
2018abca,1523052318,2018abca_qm42, qm,42,blue,4,15, 37,True,=HYPERLINK("https://youtu.be/tDB766I03O8")
2018abca,1523052318,2018abca_qm42,qm,42,red,15,15,15,False,=HYPERLINK("https://youtu.be/tDB766I03O8")
2018abca,1523052742,2018abca_qm43, qm,43,blue,4,15, 37,True,=HYPERLINK("https://youtu.be/3ecLr21DDm4")
2018abca,1523052742,2018abca_qm43,qm,43,red,6,15,33,True,=HYPERLINK("https://youtu.be/3ecLr21DDm4")
2018abca,1523053238,2018abca_qm44, qm,44,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/8U9L_QpJZI4")
2018abca,1523053238,2018abca_qm44,qm,44,red,7,15,31,True,=HYPERLINK("https://youtu.be/8U9L_QpJZI4")
2018abca,1523053737,2018abca_qm45, qm,45,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/24gshWj4YOg")
2018abca,1523053737,2018abca_qm45,qm,45,red,5,15,35,True,=HYPERLINK("https://youtu.be/24gshWj4YOg")
2018abca,1523054183,2018abca_qm46, qm,46,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/0FM7mliREHY")
2018abca,1523054183,2018abca_qm46,qm,46,red,8,15,29,True,=HYPERLINK("https://youtu.be/0FM7mliREHY")
2018abca,1523054787,2018abca_qm47, qm,47,blue,15,15, 10,False,=HYPERLINK("https://youtu.be/vRfolmBcFlM")
2018abca,1523054787,2018abca_qm47,qm,47,red,4,8,51,True,=HYPERLINK("https://youtu.be/vRfolmBcFlM")
2018abca,1523055212,2018abca_qm48, qm,48,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/MIXPNTy8YZY")
2018abca,1523055212,2018abca_qm48,qm,48,red,9,15,27,True,=HYPERLINK("https://youtu.be/MIXPNTy8YZY")
2018abca,1523055878,2018abca_qm49, qm,49,blue,8,15, 29,True,"no video"
2018abca,1523055878,2018abca_qm49,qm,49,red,15,15,15,False,"no video"
2018abca,1523030468,2018abca_qm5, qm,5,blue,10,15, 20,True,"no video"
2018abca,1523030468,2018abca_qm5,qm,5,red,4,15,37,True,"no video"
2018abca,1523056366,2018abca_qm50, qm,50,blue,15,15, 10,False,"no video"
2018abca,1523056366,2018abca_qm50,qm,50,red,7,15,31,True,"no video"
2018abca,1523056796,2018abca_qm51, qm,51,blue,5,15, 35,True,"no video"
2018abca,1523056796,2018abca_qm51,qm,51,red,4,15,37,True,"no video"
2018abca,1523057241,2018abca_qm52, qm,52,blue,5,15, 35,True,"no video"
2018abca,1523057241,2018abca_qm52,qm,52,red,7,15,31,True,"no video"
2018abca,1523113005,2018abca_qm53, qm,53,blue,8,15, 29,True,"no video"
2018abca,1523113005,2018abca_qm53,qm,53,red,8,15,29,True,"no video"
2018abca,1523113656,2018abca_qm54, qm,54,blue,15,15, 15,False,"no video"
2018abca,1523113656,2018abca_qm54,qm,54,red,5,15,35,True,"no video"
2018abca,1523114079,2018abca_qm55, qm,55,blue,4,15, 37,True,"no video"
